"code"	"d_z"	"check_code"	"name"	"automatic"	"license_type_code"	"d_lic"	"code"	"short_name"
62	Изменения места нахождения заявителя	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
3	Заявление о переоформлении	2024	Запрос на проверку площади объекта		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
2	Заявление о продлении	1001	Дата регистрации заявления о выдаче/продлении лицензии		18	розничная продажа алкогольной продукции	18	РПА
3	Заявление о переоформлении	2032	Запрос на проверку наличия зоны запрета		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
3	Заявление о переоформлении	2033	Запрос на проверку наличия уведомления о начале осуществления предпринимательской деятельности		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
62	Изменения места нахождения заявителя	2002	Экспертиза документов		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
62	Изменения места нахождения заявителя	2046	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
62	Изменения места нахождения заявителя	2047	Внесение данных в государственный реестр лицензий		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
62	Изменения места нахождения заявителя	2048	Направление заявителю выписки из государственного реестра лицензий		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
3	Заявление о переоформлении	1029	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
3	Заявление о переоформлении	1030	Внесение данных в государственный реестр лицензий		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
62	Изменения места нахождения заявителя	2016	Запрос на проверку государственной регистрации ЮЛ	true	3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
6	Заявление о получении временного разрешения	1017	Запрос на проверку статуса ЮЛ		20	временное разрешение на завершение полного цикла производства дистиллятов или право на завершение выдержки винодельческой продукции, а также право на хранение и поставку дистиллятов или винодельческой продукции	20	ВРЗ
62	Изменения места нахождения заявителя	2017	Запрос на проверку статуса ЮЛ	true	3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
62	Изменения места нахождения заявителя	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
6	Заявление о получении временного разрешения	1020	Запрос на проверку регистрации права пользования объектом недвижимости		20	временное разрешение на завершение полного цикла производства дистиллятов или право на завершение выдержки винодельческой продукции, а также право на хранение и поставку дистиллятов или винодельческой продукции	20	ВРЗ
6	Заявление о получении временного разрешения	1022	Запрос на проверку наличия/отсутствия штрафов		20	временное разрешение на завершение полного цикла производства дистиллятов или право на завершение выдержки винодельческой продукции, а также право на хранение и поставку дистиллятов или винодельческой продукции	20	ВРЗ
6	Заявление о получении временного разрешения	1023	Запрос на проверку уплаты государственной пошлины		20	временное разрешение на завершение полного цикла производства дистиллятов или право на завершение выдержки винодельческой продукции, а также право на хранение и поставку дистиллятов или винодельческой продукции	20	ВРЗ
3	Заявление о переоформлении	1031	Направление заявителю выписки из государственного реестра лицензий		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
6	Заявление о получении временного разрешения	1025	Запрос на проверку наличия заключения Росаккредитации		20	временное разрешение на завершение полного цикла производства дистиллятов или право на завершение выдержки винодельческой продукции, а также право на хранение и поставку дистиллятов или винодельческой продукции	20	ВРЗ
6	Заявление о получении временного разрешения	1026	Запрос на проверку наличия заключения МЧС по месту ведения деятельности		20	временное разрешение на завершение полного цикла производства дистиллятов или право на завершение выдержки винодельческой продукции, а также право на хранение и поставку дистиллятов или винодельческой продукции	20	ВРЗ
7	Заявление о выдаче лицензии	1001	Дата регистрации заявления о выдаче/продлении лицензии		18	розничная продажа алкогольной продукции	18	РПА
4	Заявление о прекращении	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
62	Изменения места нахождения заявителя	2002	Экспертиза документов		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
62	Изменения места нахождения заявителя	2046	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
62	Изменения места нахождения заявителя	2047	Внесение данных в государственный реестр лицензий		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
62	Изменения места нахождения заявителя	2048	Направление заявителю выписки из государственного реестра лицензий		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
62	Изменения места нахождения заявителя	2016	Запрос на проверку государственной регистрации ЮЛ	true	4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
62	Изменения места нахождения заявителя	2017	Запрос на проверку статуса ЮЛ	true	4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
62	Изменения места нахождения заявителя	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
64	Изменение КПП ЮЛ	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		15	перевозки этилового спирта	15	Т_ЭС
62	Изменения места нахождения заявителя	2002	Экспертиза документов		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
62	Изменения места нахождения заявителя	2046	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
62	Изменения места нахождения заявителя	2047	Внесение данных в государственный реестр лицензий		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
62	Изменения места нахождения заявителя	2048	Направление заявителю выписки из государственного реестра лицензий		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
62	Изменения места нахождения заявителя	2016	Запрос на проверку государственной регистрации ЮЛ	true	5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
62	Изменения места нахождения заявителя	2017	Запрос на проверку статуса ЮЛ	true	5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
62	Изменения места нахождения заявителя	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
64	Изменение КПП ЮЛ	2016	Запрос на проверку государственной регистрации ЮЛ	true	15	перевозки этилового спирта	15	Т_ЭС
62	Изменения места нахождения заявителя	2002	Экспертиза документов		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
62	Изменения места нахождения заявителя	2046	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
62	Изменения места нахождения заявителя	2047	Внесение данных в государственный реестр лицензий		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
62	Изменения места нахождения заявителя	2048	Направление заявителю выписки из государственного реестра лицензий		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
62	Изменения места нахождения заявителя	2016	Запрос на проверку государственной регистрации ЮЛ	true	6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
62	Изменения места нахождения заявителя	2017	Запрос на проверку статуса ЮЛ	true	6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
62	Изменения места нахождения заявителя	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
64	Изменение КПП ЮЛ	2017	Запрос на проверку статуса ЮЛ	true	15	перевозки этилового спирта	15	Т_ЭС
62	Изменения места нахождения заявителя	2002	Экспертиза документов		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
62	Изменения места нахождения заявителя	2046	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
62	Изменения места нахождения заявителя	2047	Внесение данных в государственный реестр лицензий		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
62	Изменения места нахождения заявителя	2048	Направление заявителю выписки из государственного реестра лицензий		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
62	Изменения места нахождения заявителя	2016	Запрос на проверку государственной регистрации ЮЛ	true	7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
62	Изменения места нахождения заявителя	2017	Запрос на проверку статуса ЮЛ	true	7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
62	Изменения места нахождения заявителя	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
64	Изменение КПП ЮЛ	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	15	перевозки этилового спирта	15	Т_ЭС
62	Изменения места нахождения заявителя	2002	Экспертиза документов		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
3	Заявление о переоформлении	2016	Запрос на проверку государственной регистрации ЮЛ	true	19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
62	Изменения места нахождения заявителя	2046	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
3	Заявление о переоформлении	2017	Запрос на проверку статуса ЮЛ	true	19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
62	Изменения места нахождения заявителя	2047	Внесение данных в государственный реестр лицензий		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
3	Заявление о переоформлении	2018	Запрос на проверку размера уставного капитала	true	19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
62	Изменения места нахождения заявителя	2048	Направление заявителю выписки из государственного реестра лицензий		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
62	Изменения места нахождения заявителя	2016	Запрос на проверку государственной регистрации ЮЛ	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
62	Изменения места нахождения заявителя	2017	Запрос на проверку статуса ЮЛ	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
62	Изменения места нахождения заявителя	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
3	Заявление о переоформлении	2020	Запрос на проверку регистрации права пользования объектом недвижимости	true	19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
64	Изменение КПП ЮЛ	1027	Отзыв заявления о выдаче, продлении, переоформлении		15	перевозки этилового спирта	15	Т_ЭС
3	Заявление о переоформлении	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
62	Изменения места нахождения заявителя	2002	Экспертиза документов		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
62	Изменения места нахождения заявителя	2046	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
62	Изменения места нахождения заявителя	2047	Внесение данных в государственный реестр лицензий		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
62	Изменения места нахождения заявителя	2048	Направление заявителю выписки из государственного реестра лицензий		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
62	Изменения места нахождения заявителя	2016	Запрос на проверку государственной регистрации ЮЛ	true	22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
62	Изменения места нахождения заявителя	2017	Запрос на проверку статуса ЮЛ	true	22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
62	Изменения места нахождения заявителя	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
64	Изменение КПП ЮЛ	2002	Экспертиза документов		15	перевозки этилового спирта	15	Т_ЭС
4	Заявление о прекращении	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		21	производство, хранение и поставки произведенного вина, игристого вина, плодовой алкогольной продукции, плодовых алкогольных напитков без добавления этилового спирта, виноградосодержащих напитков без добавления этилового спирта, плодовых сброженных материалов	21	ПХП_ВИНО
4	Заявление о прекращении	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		22	Производство вина с защищенным географическим указанием, с защищенным наименованием места происхождения	22	ПХП_ВИНО_ЗГУ
3	Заявление о переоформлении	2002	Экспертиза документов		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
21	Изменение наименования организации	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
21	Изменение наименования организации	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
21	Изменение наименования организации	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
21	Изменение наименования организации	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		4	производство, хранение, поставки и розничная продажа произведенной сельскохозяйственными производителями винодельческой продукции	4	ПХПРП_СХП
21	Изменение наименования организации	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
21	Изменение наименования организации	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
21	Изменение наименования организации	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		7	производство этилового спирта для производства фармацевтической субстанции спирта этилового (этанола)	7	ПХП_ФАРМ
